DEVID,SESSION_APID,SESSION_PTYPE,SESSION_START_TIME,SESSION_END_TIME,SESSION_ADDR_S,SESSION_ADDR_SP,SESSION_ADDR_D,SESSION_ADDR_DP,NAT_IP,NAT_PORT,SESSION_UP,SESSION_DOWN,ACCOUNT,HTTPOST,OPERATORS,POSITION,SRC_POSITION,ifname
1,0,17,1502243413,1502243416,167904271,54889,4026531834,1900,0,0,684,0,$,$,5,保留地址,局域网,$
1,0,17,1502243418,1502243418,167904345,52631,3758096636,5355,0,0,48,0,$,$,5,保留地址,局域网,$
1,0,17,1502243421,1502243421,167904277,60780,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243422,1502243422,167904404,4466,4294967295,4466,0,0,245,0,$,$,5,2016090701,局域网,$
1,0,17,1502243422,1502243422,167904404,4466,3758096484,4466,0,0,245,0,$,$,5,保留地址,局域网,$
1,0,17,1502243422,1502243423,167904277,56318,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243424,1502243424,167904331,63597,4294967295,9200,0,0,5,0,$,$,5,2016090701,局域网,$
1,0,17,1502243424,1502243425,167904277,59378,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243425,1502243426,167904277,56439,3758096636,5355,0,0,62,0,$,$,5,保留地址,局域网,$
1,0,17,1502243425,1502243426,167904277,49957,3758096636,5355,0,0,64,0,$,$,5,保留地址,局域网,$
1,0,17,1502243425,1502243426,167904277,64133,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243425,1502243426,167904277,52985,3758096636,5355,0,0,50,0,$,$,5,保留地址,局域网,$
1,0,17,1502243425,1502243428,167904277,56321,4026531834,1900,0,0,5228,0,$,$,5,保留地址,局域网,$
1,0,17,1502243427,1502243428,167904277,58294,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243427,1502243430,167904277,57228,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
1,0,17,1502243428,1502243431,167904298,51105,4026531834,1900,0,0,700,0,$,$,5,保留地址,局域网,$
1,0,17,1502243435,1502243435,167904362,138,167904767,138,0,0,201,0,$,$,0,局域网,局域网,$
1,0,17,1502243435,1502243435,167904288,55939,3758096636,5355,0,0,44,0,$,$,5,保留地址,局域网,$
1,0,17,1502243431,1502243435,167904328,52475,4026531834,1900,0,0,700,0,$,$,5,保留地址,局域网,$
1,0,17,1502243437,1502243437,167904341,5353,3758096635,5353,0,0,596,0,$,$,5,保留地址,局域网,$
1,0,17,1502243437,1502243437,167904328,5353,3758096635,5353,0,0,419,0,$,$,5,保留地址,局域网,$
1,0,17,1502243429,1502243438,167904277,55872,4026531834,1900,0,0,10456,0,$,$,5,保留地址,局域网,$
1,0,17,1502243440,1502243440,167904277,61788,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243440,1502243440,167904283,138,167904767,138,0,0,201,0,$,$,0,局域网,局域网,$
1,0,17,1502243441,1502243441,167904277,52818,3758096636,5355,0,0,52,0,$,$,5,保留地址,局域网,$
1,0,17,1502243441,1502243441,167904277,57479,3758096636,5355,0,0,58,0,$,$,5,保留地址,局域网,$
1,0,17,1502243441,1502243441,167904277,60724,3758096636,5355,0,0,64,0,$,$,5,保留地址,局域网,$
1,0,17,1502243441,1502243442,167904277,63649,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243442,1502243442,167904328,59462,167904767,137,0,0,50,0,$,$,0,局域网,局域网,$
1,0,17,1502243444,1502243444,167904277,59936,4026531834,1900,0,0,228,0,$,$,5,保留地址,局域网,$
1,0,17,1502243441,1502243444,167904277,61721,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
1,0,17,1502243444,1502243444,167904267,56914,3758096636,5355,0,0,54,0,$,$,5,保留地址,局域网,$
1,0,17,1502243444,1502243444,167904277,58848,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243441,1502243444,167904277,63697,4026531834,1900,0,0,3844,0,$,$,5,保留地址,局域网,$
1,0,17,1502243445,1502243445,167904277,55588,3758096636,5355,0,0,56,0,$,$,5,保留地址,局域网,$
1,0,17,1502243445,1502243445,167904277,58955,3758096636,5355,0,0,50,0,$,$,5,保留地址,局域网,$
1,0,17,1502243445,1502243445,167904277,51615,3758096636,5355,0,0,50,0,$,$,5,保留地址,局域网,$
1,0,17,1502243437,1502243447,167904267,55040,4294967295,3289,0,0,42,0,$,$,5,2016090701,局域网,$
1,0,17,1502243444,1502243447,167904277,59941,4026531834,1900,0,0,5430,0,$,$,5,保留地址,局域网,$
1,0,17,1502243447,1502243448,167904277,61022,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243448,1502243448,167904277,58834,4294967295,9200,0,0,5,0,$,$,5,2016090701,局域网,$
1,0,17,1502243448,1502243449,167904277,63050,3758096636,5355,0,0,62,0,$,$,5,保留地址,局域网,$
1,0,17,1502243448,1502243449,167904277,50129,3758096636,5355,0,0,56,0,$,$,5,保留地址,局域网,$
1,0,17,1502243448,1502243449,167904277,60226,3758096636,5355,0,0,56,0,$,$,5,保留地址,局域网,$
1,0,17,1502243446,1502243449,167904277,52394,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
