DEVID,SESSION_APID,SESSION_PTYPE,SESSION_START_TIME,SESSION_END_TIME,SESSION_ADDR_S,SESSION_ADDR_SP,SESSION_ADDR_D,SESSION_ADDR_DP,NAT_IP,NAT_PORT,SESSION_UP,SESSION_DOWN,ACCOUNT,HTTPOST,OPERATORS,POSITION,SRC_POSITION,ifname
1,0,17,1502243449,1502243452,167904277,61642,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
1,0,17,1502243454,1502243454,167904331,63600,4294967295,9200,0,0,5,0,$,$,5,2016090701,局域网,$
1,26,6,1502243639,1502243639,167904492,57468,167904424,6000,0,0,32,48080,$,$,0,局域网,局域网,$
1,0,17,1502243448,1502243456,167904277,58831,4026531834,1900,0,0,10723,0,$,$,5,保留地址,局域网,$
1,0,17,1502243458,1502243458,167904267,53597,3758096636,5355,0,0,52,0,$,$,5,保留地址,局域网,$
1,0,17,1502243456,1502243459,167904478,52876,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
1,0,17,1502243333,1502243461,167904277,50533,4026531834,3702,0,0,22736,0,$,$,5,保留地址,局域网,$
1,0,17,1502243462,1502243465,167904295,58053,4026531834,1900,0,0,692,0,$,$,5,保留地址,局域网,$
1,0,17,1502243468,1502243468,167904312,56076,3758096636,5355,0,0,33,0,$,$,5,保留地址,局域网,$
1,0,17,1502243468,1502243468,167904288,57498,3758096636,5355,0,0,44,0,$,$,5,保留地址,局域网,$
1,0,17,1502243463,1502243468,167904305,62210,4026531834,1900,0,0,350,0,$,$,5,保留地址,局域网,$
1,0,17,1502243468,1502243468,167904312,56339,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243471,1502243471,167904312,59094,3758096636,5355,0,0,66,0,$,$,5,保留地址,局域网,$
1,0,17,1502243470,1502243473,167904315,50181,4026531834,1900,0,0,696,0,$,$,5,保留地址,局域网,$
